Session: Session 1,,,
time,LM_2_O2,LM_2_RPM,LM_2_A1
(sec),(AFR),(RPM),(Volt)
40.55040,8.25,2030,1.99
40.63232,8.24,2020,1.74
40.71424,8.12,1970,1.60
40.79616,7.90,1910,1.47
40.87808,7.76,1880,1.44
40.96000,7.78,1850,1.41
41.04192,7.95,1820,1.40
41.12384,8.15,1790,1.38
41.20576,8.34,1760,1.38
41.28768,8.51,1730,1.37
41.36960,8.62,1710,1.36
41.45152,8.71,1680,1.35
41.53344,8.75,1650,1.32
41.61536,8.78,1610,1.30
41.69728,8.81,1600,1.28
41.77920,8.84,1590,1.26
41.86112,8.88,1580,1.23
41.94304,8.88,1570,1.20
42.02496,8.85,1560,1.19
42.10688,8.82,1550,1.18
42.18880,8.80,1540,1.18
42.27072,8.77,1530,1.18
42.35264,8.78,1520,1.17
42.43456,8.79,1510,1.17
42.51648,8.79,1500,1.17
42.59840,8.82,1490,1.17
42.68032,8.83,1490,1.17
42.76224,8.85,1480,1.16
42.84416,8.87,1480,1.16
42.92608,8.88,1470,1.15
43.00800,8.89,1470,1.14
43.08992,8.89,1460,1.13
43.17184,8.89,1460,1.13
43.25376,8.89,1460,1.12
43.33568,8.87,1460,1.11
43.41760,8.86,1450,1.09
43.49952,8.88,1450,1.09
43.58144,8.87,1440,1.09
43.66336,8.87,1440,1.07
43.74528,8.86,1430,1.05
43.82720,8.85,1430,1.03
43.90912,8.86,1420,1.01
43.99104,8.87,1410,0.97
44.07296,8.88,1400,0.93
44.15488,8.87,1390,0.92
44.23680,8.88,1370,0.92
44.31872,8.88,1360,0.90
44.40064,8.89,1340,0.88
44.48256,8.92,1330,0.87
44.56448,8.94,1310,0.86
44.64640,8.94,1300,0.72
44.72832,8.94,1280,0.58
44.81024,8.94,1260,0.52
44.89216,8.95,1230,0.46
44.97408,8.96,1200,0.46
45.05600,8.97,1160,0.47
45.13792,8.99,1120,0.49
45.21984,8.97,1080,0.50
45.30176,8.95,1040,0.52
45.38368,8.95,1000,0.54
45.46560,9.00,970,0.56
45.54752,9.06,930,0.58
45.62944,9.14,930,0.60
45.71136,9.20,930,0.61
45.79328,9.25,900,0.62
45.87520,9.33,870,0.63
